input,output
()ab-a0b0c1-/)b(b0c(-22a)0122+-)+*)*c1*a220ca2ab-c(cca*/1/()b1/)(b)b+0cc2*b22-(bc++((c*aa(1(c-b)b()b22b/2*-b+(bc21a(-+(002ac(+((c20-(bccaba0*--b/+)*(2ba+0b0))ab11c0((a)b/*()-b/0(a*-(a//+(bb-(*)0(a)ca120*a((1(*b)20b/0a/-10)c-(1b01/0b*1(c/c)aa0()+0c11ab1+0+*+(1)2(/c121(a)-a)(212**2+/bb/aa(-c-0*2)ab/+)cccb1-*)c2(/(+c2-b01--1**)*cc/)/*b/(/*+c(-b)a(21/)c(-(b))c(ca(/)()c(020((ca(2a)2bac*1)c*2()22-a01c2-a+/a+2a0a-()bb)b()0(-+1*ba2(/a)2c(1)/-020b(1)0)/))b(((*+)*)*/1(((bcb(/((+/+)cb)+2)cb*a1)+(2c1(a-)0-))**c/a+)aa2/acb2-c//a)+((-a)c)-)0(++bca*-/)22*20c1(c02*-+ab1*(a/(2*c*ab))ab)(00)(2)/c*0/b1)a1a+))12cc+)aaa/(c12+2(())0+0)(b(***-22**(+b(1/0)2*020b/11a*b((0(+)*)02(((*2cb(c)0b*a2)+*)))02/abc/(a1+-(b(0/-20(-)()10*2bc+(b)/b/)+/0)))/c(bc)(1-0-2)02a2a)/)-)/1(2a)1c0bbbc1+)0/ac0cb)2-)a)a++++00)1acbb+c)2c)1c2))*1(/++0+*-b(-*((-*(c)0/2*12())1a+*c((+ab((b1+0(-a-a)b*-b+)(2*2(1/-aa(b)()1c0((+)+a0)a((2-a())(+a+((0-a2-1(2ac*(2*((++-(2-0/1a0c(2)2,incorrect
*2/((a1c)+(10a*(a(b)1ab)b2(+2)*(/1)-)0b*-)*/b20-bc(c((bc)bcc,incorrect
*)0(bca(00)c2*aab/c(/c)*10)*)-())a)/)0--(cab(12)*c12b(()c((((2a(-a1/aaa(b0b2(c02)cb0)0*())a))--/(c+1)b/ab2-0(1/(2a2caabb/2a/aaa//1(0a1(1(*b)b0*0*)*+(1/a0()b0()1/+)-))00/0a022+(0(1+b2//2/)(1aaa0(21/2(+/))/+(1/0ac)211cc0)b-+a0211((c-(1+000-1a*(+0)b(1)bb)1c1)cccb)c-c+a2+0)+c012(((1)b*(a()1))1a*-)*a/-0a11ca(/00c(+b)111b0+1)aa11/(b(b12-c0*b0*c*c(/(c(++*a-(2b)c)+2baa2cb)11*(((()(01(0b*-011())0/(((/aa(a-20(00a0)2)+(c/((12)+*c**)*(b))+0(a-c12)ab+)*c))b(aa-+*()(1-,incorrect
1*2(-)b(abc*1b((00)1)b)1cb0)a-b)/0+2(++)2--1(-2(c(2c(22/aa12c0)a)0/**02a++1(*/)12bbb)0+(a1/1a(0)ac)11+bbc-a++12ca(1accb-c*2ccaa(-00)2a-1(ab/(((221***2b0))+)02/12(a*-00((-a+))(ccb/21a1(0-*(0+)(a0)-+a10aa*(--a(()c(/c1c1c2+-a(*+c)a)21a(/c2)a0*c**-(-(10c))1(c+c*+1b1)0(///b2*-(/))(0)1/))1/b+b)+1/(0-*c-)a-*/ca1(c)c)b1b2+(0+c2a02aa2(+a-*1c0/cc2*0+0b0)*2*(-b(a-1((c-0ccc/bbc))c/(*-)(1(-**-)bcc1*0c0a2b)bcb2/2(*a1-1+ba2*()c0b/+,incorrect
bc/1aca--01)0c0)/b/)c1c0a*c/b02bc(b)(/0a))-ba(2/11c)(c01))b++1)1(-c)//2++12a*2a1b(c)*0/2+ba2b-(0b(2/22*((0b/-(a/ac)aba((*(+b+c-(((0(0(0(c)*/)/(c)b(02/22(/+b)-0+)(+-(22-cb0*(-/a)2-c)112a(20a*0aa-(-/0-(cab(1a/2b-/+1)20))c002c0-c*1111c)1/bb)+00b2a)))-(/c))1ca1-20)ab)010+a(c)/ba)(+a(/+)b)c2c)0//*0-(/cc/(2acab(221-2/ab/ab1/ca2a0)0(0babc((/10+c((b))2b*)(())((b/11)b(b*(/0(2c21/b)(--cc1a-+)0)(a)/2(2122(a00cc)0-2-)2(c2**c1b//b2+(++(-1bacc++b(bb(1ba*0(b(bcc+()c((0+ca-210a(0//+a-/)c01b1/b20))/))(2)-/0(01((*21(/2cabb))+2(00b2c-))01-++0b--/1(a111+cb2aaa0-)0*+aac+(c)a/-0)*(+1)(-*2cbbb2(2-((1-c*2/acbc//(c+-1+1-/c(*a1*(1-)a22abc/()1ac01b(((-21)2(-*2a2/cccccb//)a)0()(ab-(a/0)aba/c0c2/b()1*/c+/c*c2-)))))1)/2/*0aac00)2(**cba)a)c(1a*(2a/*ac)2aa22a)1ca**-(()(b2)aa(+1()c1*/c012)2+/-0-0))a)c(+(//((1))/1a20aca(/+1*)1-b1//cb()b))a)*1c)c)2*)0)+b-1b0+)-b-0c---/0*)0*+0/2/+*00a)-0a0cb1c)c(b+(-()/))(b0-((aab(2)b10,incorrect
a**c-a/02)b)1)1+*cc)(/bb(0+)cb2)/0-0)aacb)c+)a0200b0*-(c(/+ac0(/1*)ab2b2*)b1a-2b1b2(b+-b)c+a/b//b-(0+1c-2((c/+-c-1)+0c(/-0(/0()2(*)211+20c2)ab(-)a1)c(2-01)a(c)b)/c/2bb-c(b0aa/+b)-001*0)2bcab+acc,incorrect
12c0)()(((ac*2b*)(b+-c0(+)b+0(2*ca/+0)b1((1*2)a*20cc0(*-/)0)+++0a)2b)ac*1/b)a+0-2cc*0(+*b)++-(()ab0)b0c(bbb0acb0*)+21ac*2(0(+ac1b/a0*(+)1c)2-)1a())((0)(1*2c+c*)+11bb)*20ab)0--)1(-1*+a+(0c(c()((c0(*1))/b**1+a0)(12b2220a)+/0-b(-(00++0*((1)a222-/c(/b+))b(abc(a0c*)(112)b*-0)/-1(2(2/()*0*b/b(*)(1(*+c(1c0)(2a+)1++abc))(b/)0(*a/2)0)+-a0ca2**c)+(*10))(0/10*(b1bb)0(/)a-cb((--0bca-*-b()2((c(b2bc*bb1(()c)a(+-2/a-))b0)-110a+b)--0/a++a2b(((1ac**2/2)1)ab011c((a*b-/)))1(201*)a-0a+1)(b-0c(c(1(a)1))(0acc1a((**b+)/+)-*11))+00*-+/(b)a)*bc+)-0*2))b(-1)(01a0(2(b122aa1)22-)1b(0)1(()/+0((/20/1b(c(/0-)c2a2(((cac20b-a*(b+c)+2-)/*c+a**02c(-0-/1)(baa(c1(/)00/a-1-/-)--20)(2100+)b)2aa2/(2(-+(1*0a)0c(22+)))00ba/)//+))b-b((a1a0)20)c(+22*0cc)/(02)-a+))+b+2a(1)+)cc2b0((*)a0)cb(-)/0-/)01*a-b2b+*bc2(+-,incorrect
2bcc)a*b+2+(ca+-20)c0()01/b*(*+2+-120))c02a++-ca/+b1+12/()b)*))*b0/0(01-1(01-c1c)-1b1()02*c/+/(/0)112a(((1+)/)0(c)1/()*+(a0-c11)2a-()12(2*c0c(*111(+)c-)/0*1//c1+002/*)()(+2+b()2)-a0cb02a/1/(b-/cc2*)1)0)-c012c*12c(b-2a))12)1+(2020*c**bb*10a(/*((/(1-2/2(b)/++0c*1-0(02(0(b(*+b11(cc20)((+a*22))(c-21(-1+*)a*2))a1)))+cba()+/a/b+b*)1b+2a)*a)00a+cc()cbaac2+/cc2/0+0**a/1((1))0()(c)2ac*2(c)(1(*aa*b()c21*b*/0-)c/))111/(b0))ca00ca/)*/(()(*(*1aa)1-/)/0))1--*c+((((c/b-1)(,incorrect
1-1b2)c*011a(*+0*0c-)(c2b/2cc2*)))a)--*-c1+01-0*0/*1a1c(ab-0/a*0bb2aa2a2)0(c+-c-2)(2a0c)b))b(11c111)*02+021)cc*01*+c(22+*b-)(b110-/()21-)*+2c(a2b*01acb0*c+-+b*2c(2)(()-0+/a-122-(2(2+20012)/-()1)()0ba))+b(a+*202(2aac(a/-/*+(a(bb(///+2/0*0(b(a01c+a0(1)0cc+12()()021)a+))(20//a2-0-c1aa2/(1*1cbbb-/-(((2c))ab102*1*-+0)/b1))0(cb/++(*1-b1-)bc))/ccbb*)b-(1aa(2-/c)a0ab**(*0a)0b0b1012c//(((*)*(b-(1a(-0b+(/)(2cb-a*(a(bbc-)+b1c))/*2-+)-+(10(c20b(+2+11a//c(b(ac2-a02+(*c)2-a)2ac-11(a(*)0))00+)(**b1-/b+(ca02b1ca)0+*/c(10c()+b/1(b-a))c2ca2)a()c(b/b+2(-1(1-0(c)a/)2)*2-(a0ac(+b)1(0)b*0)b+*(2/aaa*(01))2-)2)2(b*bb(--b)c)+*+)22a)21//-+a+2*/12(c/02ca0c2222b)a/1(2)/21(+a1+b/-a)01(+a(c1/)-)bbc0+01/0)2a)+/+()-(a2)20cab()(100a++1c2c2*/a2)10cb10c2(*b2(-1-2c+10a)02)a*b0)b(1(c)0a()1)c1))(*b0b--2cc+)1a2-)-a0-2+)c12*))aa2+-()2((10/20,incorrect
/))b)(b*0121/2a(0-b0b2b11c100bb*0(2a2cc)a1*ab*1()2)210-2)-(c2a212*-/+0aa2ab(02)-c2aba/b0/)a0(1a2+-b(c2-a)cc1-)))1(b*b(*a(b1(1+((*1b(0))(0(()/1-/+c1aa-*)1b))11*b(a)(220bb0/c-((0(bc2222a(b)b1ab-(/((220aab*(0*a+/(20/c(2)2b1b-1-*+c)*221)()2c)a)1ac*)00c(202c(/(-b1/0c(+0a)c)0ab/+1b+a/1cb*b)a*0/b(-20/c)c)1cb+a*+cc*+*))a-()(0)10-babbca*(c*1)(1/+()+b)1)/(b/*(/a)((()0//1+*012()0a2+cc(--+(/+c)-))c)**(+)2(21b(ba1)2b-2/12*(a((a2b+bc*a-*/()(0+11a(b12b0(+*b2+c0a2-2/201)(a)a)2a1)2c0()(aa(*c01*210b1a)2b001()(*()+0+(-ac(a/*bb1b+(+/1*1b)b2*(2b0b(-21()+0+ca00(c1c0/*-(,incorrect
022c1-2a)1c1ccc2(0c+2ccb--2/211c110(bb((b(((//-(-a)/b*0)c)a)()11(1(a*2/+1+0a1001b(a()/)(*)(/-1/--c+1+/1*aa))b2c)a/2-0)(*+)a//2a2a0--2ba*0bc/*a(-*))(0))*)c/a*/12a+)/-1b1/b01//)0(a()*+c()/c(*)01)a)2a1b1(/cc)-))(0b(/(+(*c00/-c2a0a)1()c-1*)c++b-)*)))-/0120c*)0+0+/+/-*22))*b/a()/-bb)/0(a1c(+00a-*)+)ac,incorrect
1/-,correct
*bc2)a(0ccb*22)(*+1b00(+/0(-(2)2aa(0-1(21/1b0(+1c)a()*)1((-02)2(a*-(2+(0((a+21/)((c1()1(0)2/20+*(1//02-1/b+0a/0a))1a0ba/a/a)+c1a)*c0*)c(---+/)c)ba-(c/-0b+)(0aa-))ab+/)(20(*)0c)2()0cc))/b()cbcb2(/)1c20/b-(+(*--(+bb--)/0)b1+acccb2*/bbbb))-b2(a*ca00a)0-(2/a2*101b)c1/-bc*)(a0-((b-(a++b22+(22ac-)/1120-//2b/1)-)(2a--(-2(2)c/(+*)--)((0)b*)+1(+01-(a((*/b)b0/cc1-(22aa110(+(a0*0))1bb21(-(+)1-b)aa(02(/a0-2))cc))+020)(+//(2)a)(a21(0/2/ba+bc*(ba1ba+(/21)2-aa/0+**a/0*b0(*1c/1((1)cc+b1b-/bc(2-/+1c+-22()/-bb)0-a-0)//a+)+ab2a(b-a1cbc(c/2-*2)c(b()b-)b)2(/)c(/-1bb--(0(-c2a)a2-b02)-0(()1(*b2+-b)(0c)*211)--)a1ac++*a)())20-0-0a11)1b1b(*1c0)+ac-2(1(*//)01*a-01()aa22)(b10*b))((c(+a+012a20/)c-**+*b121b2/-2c1a+()bc--)c2-(2120/aa-01(-)21))b(+**+/*(b+ba(c0+ab+c)a))a+(bc)1c1/c*b+abb(()-1-)/a()1)(-)c(*+ac()b2a*))-()2b1(1(c(a-0-2b*2//acba+)//2(bb1--cc1a1/2()+b)2bb)ac/2+20bc())21)++(c-1-(bccb+caa1(+b1c122b)b//b)21/1*-*+b(-)(2/((2ca)ca+-*c+2-10+2a21*())bc*)*cc/0/ab/1b0100c+)-ac-2(a(+/a*20-(c2b(c/b)(1,incorrect
c(bc01a((2(a-cc1)c-)a/)2)(2(*c)1)(0*a0)(2/12+(20(0c)a0*a*(a(1*a02a0a2(2)a-ab)-(c+(/)2+b*ab)1(1)1+)c+(22)-02(+(-1a-*b(2(2*c((()c)2ab/1c1c/c2()*+(a*()))-21+b(/+(1)*2c0(ac/(11)/a/2bb)(**b-(+1*0/*)c/)02c-2b(*b()0)01(1/a(2)(*/)ba)1c/*(ab,incorrect
+((/a)-a(1a00/)b2b*b-c*a-)*0//+0011+12b-+000(b++/b-2c(bc))*1+a/+)a(/c+/)**)1()ac1c12c(0c00(()b)aa0(*b2b/)+)cb2/(/0b1-***c(a(c*cba)a-12cc/c(()+(a0*(/aac(a0*020*b020)-*b2/0+)0(00+cb(1)c(/a0)c(b(ab1b1*b+ba)((0c(c(b(b110()0*a20)1ac(1bc)b))0)*)a*(-/ca-(-)*(+(/(c1c+(a(c10c2-b)(/2)22)a+(2(*ba+-0b0++a1c*()11)c1c(/122+)1))-)+0)/c(1c)1))2c2*((0b(/cc)+a110cb/01((*2a0*+b10)a/ca2bbb()1*--/*/*b+1-((2/--/*ab11a0-(11022/)b*1(ac*02*+(*101b22)b)(12*a)+*)0a))c(/1/(cc+c))-a)ab)c/-b)1/*+/c1a11+bac(b1222+()/((01-))1c-/c/2)b--2c(c2*-c)1/(22)100c+b1+(c)+-+b)1*)(0c+)+*/bcb+(c)/+)21//()a2c))(1a0*b2a)(/b)0a)a0-2+(1b-bcba/2*1b)b(-1)0*22+-b())102b-b/1++))((c)21()**-cb)c+1/0-+ab))c+01))*(b)0a-*)))*b)/a*-)(0caa(0+/0a)1)/*1)/b20c1(00+1)((c((**2*(1b))0*cbc+a21)b)(212a/()(a-*/ab/10)cc/)11/a(bcca)a++(ab)-2+-+0)(22*+-a()0-c*c2b0(b0+0/(c)c2*2aba/*02(bb*)-(*b)*+*+a0)1)b+(0((ca1)a1aa0))2(-c0200c-(012/*bc0(1ab00c/1(2-1-0/ac00a0/0(21)((0()0a0))b)ab2)c*0-a+)/2a)0(2c())c*22a(((0-()(-c(0c-bcc0cccbc)-100b,incorrect
a)1*bc2*bc1/2)(a0a(b--0a)c*c1+(11a1(11a2*)b(1*(baba0)b)*(a)b((/)-*/20c0c0/(ba1**)))))0/-a0*+c1+0)1a+(b*+a1a)2a1b(ac2c)-+*00a)(2)+-0(2b2(ac//b(c)c-cb)1-b(/c0/((01c)ab*20+a2()c+(a*))(a+(caac*/11b)1*)c+0aab-b/c(1-)0ac-c()0*b1a(0bca-b(1(c/a1+2b(b)a*c(c+*b*+)-/2+100))aa()/a)+2-+/2)(-b/)1)+)1a10(22b1++(cb-/c(1ba0+c((a))0ab0/21a)((0(2)++a/+(-00c2*a)021/)()0a*0-++2+/)c/+-)a*(*+222a0)/cb/2acb*()a1)20c/0))/(a2-(-)2+)(c1)(()b-++2ca)(11b10+0aba-1aab02/0/(1)010)//b0b/a1*2/10)+11c1*(()bc()0c*))0)-)c)0)+121c00bb()a/21()-)b+()-c(bc12a())c(a(+(0(--*212()*)-0b+1+(/2(/a1/+*)0+*)())0--a1*a101-/-c/+1)(/*b0c0b-2c)a2*-00(aa)a1bca1())c1)2)*())/+)*+b0b*(c2)2()b/b*+()+cb10bb)2a))+baa)*)0a*)1ab)aa))+1/-1)ca)1-*b-*b2(b(-0c))+*100b1*//)01*c)cc+bb)*a(c2)b)2)a-02b2+(1ca)1c+a)+-((/1)cc)0-2c-1(cca10-/(*+b22b1((*b(()c)/cca-+-c/aacc()22)2)))(10c(-(1-+acb)-10c(()102/)c10/)22+2-++/cc2(-(a)0/0/2a1+((()2*a+2)(02010c*cc,incorrect
1)a0a21111(01bcb+bc)0-a01)ccc)2+)00)0a2*b)(-0)22c(a))(*caa1-((0bc*2c(+1/(a)((a12*-1*)c0/c(-ac21(0(/b((0)+a1*/)-a/0)cbc(a*1+0/)bc+1+1+10aac(1b2(1b0+2*a01(a-0a1-acb1*c+-cb-(b0(1(1)a-bb1/-)ac/0)-2a/0((+a2()c/)+a2-(c)211+(-*))(+ac(+)()1)1)b20)/c2(0)/ac*1(*+/0a0)b2+(2a(-bb-(*)(/c1)(+b2/2a02-(c)ac*cb0aa0b0cab)ba)()+0+(-1-*a011+-2c(-/c(0-1bac/(b1-12-1+a(/(b--)0-)a)(0ca)(//(b(0-+a02-20+/b02+c-c+2(()0c+(-(c)0())*)b2c*/ca0)+-)///)2c)2aba(+2/(+b1)-*c12)b0(0b2b2)c*a-0-12)b0)b-))0)c/1a*1a1ba2)1*1a()a(1-1+aa0-0a-+(ca0)a2*(-1)*0*0(b2)(1/1)/*c/0*c+()))2)(b((c1*ac)0+c1))+)b2+a)0(2-)/cb10a+1*b0*bc)a)b((*+0(a-/21/-(a(-c)/c*)0aa+)1+*/-(b0+-0b()(01*1(2c(a102(((a+-/aa2a00(*b-*()a1*+a/bc1c+)(-abac)0b()),incorrect
)/*0*c2bc()/-11(*a-)2/*bc21(+b2a0-b0c)0cbc0)-+-+2)(0c-(((()a(/-+-(ab2)+c/0)ac+0c)(a(+bb)-baa(*+1/)c(-(ba21+)-0*)cb(-/(2-c+*/2012a1/ca*-)2bac1a2-+a0)))--)(a0))(c//c*-c)210+-/)+*)-+/aaa)+(20ba+11ac/0b*(101(-/2)+1(+))a2b(/0a+-cccc-0a2+cac)()1*(ab002(1()-*-120*+0a-1+2bb(b/a1)2/)//020*))0/-1aa()b1)c(2/)1+)-+))ba/2((0(ba+0c)002(+1-*()22)2-b1(*2-0abc-)((c)c(cb)2)*0-/0a+-2+(b1*a)/bc01b-2b(-(0bb/+a/)((c(b0-b)1()0ba-1(0c*c+*)/-c)b0--bac11)c1c(0c-)/ab02-a(1*c(00-c/-11a21(b/(0)*1*b+b*a**-)(b01-)/00*20)1++)*(0cb0*(0+b2c0c2a(c)(*00b)2c)21b*0*(b2a0(/2/)0(bcab1c(/ccc(a(b)0++0c2()b+(/ba/a)ac(2/0)*cc((-bcc1*2)+12)-2/)-112(-(-/()c1)0b--)1()2c0(a//-+a/()1a((+b0(b-1*0/*-01c+*((a)1+/(-(aa)1-c*)2(-2+b+)b*a+(1+b*2/2(0ba12b12b21)c*-)0+2-/((b1c1-2211b00+012)()a)a()+2()1+//()ba*/0cba0)111c)1a/(a*1+))ac/-c0))210)a0-/cbca)b-1)/+(c-c(*1*)(+(+1c2cacbbc)1a-2(221aca010b2-b)1aa1ab)12a/)(/b/1)c0a00(b2c((*+aa(a/c(b(0)bac(/(b+-a)(a,incorrect
0)1)b((*)c-1))+22(b+2+020b*cc2(aca+bc2+b1-21b/c-)+b+2()(-*c0+b1*a))*/((*0+b1)0b*b0bb21/12ab11b)1)-c0)()000b)(0(01(/22*()/b-/-(02*+)c(a/c1a(10a(c2+2+1)+)c)12(/)(ca2*001a+0-b0/1)))c)b*)c+acb)a)())0)0/00(a21b)0010+))a1)a/)-+((-a*(/12/(b2))a1-2b)/c*c22/2/(((0-02b)(2(**0c2-b)ac(2(c*)1a1-))((2**(*(+*)+/00100(a1ab1b*()(/))01)+b)()1+0(2+b()b-b))a/(b(2)20+b(-(0b2001+/*a*(//0)c/b()/c-/*-22c02(b/cca*--)c))-((+c+ab/*1b12b1*0cac)(1000-ab*ba((b/+))2b/*00(+b+*0+-1)0c+a()2+((c+)(c+2//a2)*/+a(c-(*(c0(/1*b(1()-b)212)b1)12/211)0202c1(()1)(/ac+)-*/-0*1ba1(*/)*a*(a/a//**-()1ba1-a1-1-)22+1c21bb)0210/1(b+2-)))ca-ab2)/(21+c-b*(-(21a-)(1)0b)())0b()/*11(+/*bac120/(0(/c)c)*)(2a2)+))+101-+c/*)(/)++(1-02+()(a2c(0)0b-)b-a20000()c)11/(b+)b)+20/*/c-c-(b-/2)c1b/c*ca+*2+((/+2)))*-ac()))(-/+2+)/b+-c0*(b02)+0((a1+-020c)(c1(02+)+(),incorrect
1212ac)(-/0b-)-(c2c/**()b*(cc/(a0bb21())2-())2*(2-0c2(aba))aaa0/+aab)1b(+)/)2ac*2ac00*c)a(-2))aa/))1((*b(ac+(a(+)-(0/2/b1*2-*b1*((*2*(0/(0((1(b--(1c)b/c-1)b*bb(aa(a0)((bb2a)cc+0cbc(210)(c(a0b*--/cb/-(0(a(/c0ac/-*2b1+-1,incorrect
/00(aa1)(b0)-*+-0+10*)2201-c+2(a/(bb-(0b0)b0(0(/b)c(ab1)c/)21a11/2)22/b2c+a(1)-)11)2)2ab+/0-(1b(aac/bb1)(c*/)22a(+)c*aba)bb(1*)bcb*cb2a+0(*2(+a(b010(/-b12b(ba0)b+a0b10*ab-a(/-***(a/(1(/2(*)bb20)/2-b+)11/()+(-2ac-()(/c(-)*c((c))-))a-cb)a(2++--2+00a*1cc(1ca(a*c0)1+**c1ca0*bba0)0b))02+cb+)(-*c-*ac(2(222/b200-102/)-)))-+2-122)(-(*11*)1021b*(*(+())a((+/(b1c2-2))120(*c2a(a)2)*(*b0)-+(b2-/(-22c/b+-ab+1*1/a)a-)c)c(c1+)-b1b(/0+1(c0ba+*b)a-)22-b)c((a(+0111))()cb+12)0)2+-c0c))+cb)(a01/0-00c)a-1c10b/11a/1)a2/)bbc1-+/c2221b)b*01+b/)012*-+0-*))00*(/a1c+)0+c01/(aa)//2/b-+-2221+()()1a0-)*a12+*()/c(0-2/)1)c)bc(b)(/()02b()(a(a0b102-))*/+))a)))cc0/2,incorrect
(a*1012)/ca(21/aabc12ac+/1+a11c((ac)+2(*02c+/)/(bb(c(*-b((abc122+-1)100b/))(*(+0,incorrect
)a))((1)*/ba+2(011b10a22b)011))bc(0---)c1*b(210*(21)*0c/a1/-11*0+aa12(/(b//)a20/10+*+a))(0--++ac0ac(*(+)((a2a-)a((11a)aa/b*++cb*a2+bc/1-*)//)b01/0(0ac*0+/(+-cb+-)--b(+))()b(c1)2(cb2a-c)/)-21-a)a))(0+c)))-1-(b/)b12/2*a+(-c111ca+)/(()(12c2a++//c/2*c10cc)*2)(22+1+1b+/)b1+2((a01)0(a11c*1aba(0aa-b-0-0)122a/0*10-*110a(10b*+a2aa1cb-11c0//01a+*cc)1()0((bb1a1a2(-b/1c)1b*c+2/c()(b00*()(1**-1(10)-*()a+*2b()*2(b+a2)220(/0))a)))a/01()1+**(*/c*)*c/)-0c(/*+c(10cc/-c/*a+-1a*0(12/0(-(()(2-))aa22+)*1bcb2(c2*)2ccb*)()c*)cc0*/*++*0/((2+(0//22(+b/*)c+a(-21)ac2(-0-b+c)/bb12a)*(caaba0-)20ac2b()01-)+2c-(c*-a)1-c22(//12/))(-*2((1*-cb-2c+)b0+//--1)a)b0b1/+/*a)0((c(+c0)*aa12ca*+1)2*1+)-2(0a-*(12b+)c)b0*-a-)-1c1ca01((a+*b01-b0b(10a)b0-0a)*c(b1-+/0c12/*20))b0(+b(2/0-(22-)2)20a1)0)(+1-2+/((b((-0*b)(c*)a))c*c*c(/0b(cab,incorrect
c))-(*-a(b/+-*10a*bab1a)001cba/11/1b*ac)*/b0+*a0-b(+(-0)/21(bc))0(b))(c+)b*-()b*)c)-/)c*)())b/)bc()1(/((a020)-+1)/b0/(1*)+(bbc(2)(22-b*-1b+2*)c1)20)01/10(a(b11/+(*--2-c2bab0cb2c(/20+0baa1(1c1a)(a))(-20-)-b0*-2-20)2*2c)1)*0))ab0(*)+*-(2+-21+)ab(a-0/cc/(c)1)1*2)cc()0)/a0c(c)1c(c0-(ac+()-0c*+)(+(-)(a))1)0(c(-a(1bc1*(0/1c0b*)0b)-,incorrect
))c0-*2*(02)(2cb(cb+b+20)aacc0c)+/(10)2(1a)1)2)(-11-2)-cc+a21*(c-b)*2(+b)1(2+2(+a-+/2c-/(0*cc+(a(0-0*22+)(c1-)(01*+*ac(+0a+1()/*(bc*0-///2(a(a-1+c-b*//b*+))*c01c*((10)-1)a(c0(+012(++b2c/a)c*1-)-(a*2)2()0a/*b+2-)/b1/-00a/a+0/*0b-bb1b))b-b2()b2010b)0)(b2/1)1b(-b(*/(2+c(b)(-)(/+/12//-*cb)122)(a(/c(2bc/1(c*a)2aaa11-)((+()(b*a1-(/)0+(0aa*)2a(/a+-20a2a-b+212)bc*000())(*))20*a12)()b)11c102a--(a1b*11+1b2ac(b1c+/()0(1ab2b(a-0)1+a*--/0-()211a(a()*2/)0+(1)cba)a/)1/(b(/)a)/b/+--b2-)2b1+(+2-/()*-a2(0c0b/01(0a2b0+)-0(b(-a)b)*a0(c----c+(0)(c0*c+)))/20)0a1/+c((+c(((c-*b))c*)-*)b(0010c))02a)()/2+)(-ac+2(c0a)cb2c(*)))c-/cc0c+0bcc2-b/)-c0(+-aa(2*-)b1c0)1)-c2-1)(+ac+(1aa(b(21(()ca+1)1c(c/2)()b2(-(+b(a22+accbab(++(b2-a2))*0ac2((()b)+(0-)2/1200b(211/()0*a(2a*1b+b21((b*1*b+)10c(-+1b((-2)0*-a(((2)*2b11+/b02+*)+))+b02*02+b/+ac0c)(c0/2**/b+*b/)bb2c)-c1b0(122-bcb+20cb1)110*+*+1)b0)0(2c)2)2*)**-bb(0--(+-1ab0a*0aa+)*+2a-b)(0-/(c0)2/)/)0*+a*c*((+(01b/c1-(20)**2c(+)(-,incorrect
0(c)(0))c0/)-c(c21b))2)b0/**2(b+c(-)2a0(aa00/)a02--0/b-b-c-*c/2)(00+)+b1a1-*b(2(a/c//bc/b)1b+-)*1a1b)112/*b)2-a1aa*1*)*cca+2bb*b0a0121c/ba-0))0)+1a)+-)+2/c2c))c/bca(///1cb)01/+0b01a10-b/2-bc)))0b221*21c-c)c*c(+11(-*2+bb)(1)0a(-*bb*ab)a(a0b(+)2(//1a1)a/2+1c+b2b2(0)-+b0)a1))+()*))-b)-0cc(21a2)a/0(0(-ac1*aa00c-1-1b+(2b(b(10b)2c2/1*(*a(+(+*)+1bb-*/2a+++a2/(+*))-)c0*a12()1*/-11b1)c1/())(b10+a/*+ba/-*0/)bcb/a11a)0c2/00c)2b((aa/200-(/)b*2(c(ca*0c)/0+(1b)2ab()c1c(1)+21a0b102+22)+1c/a)((a)/(1bab(12-)(()b**(*(baa0(0b0)-2-0a(2)b20*(1(1+b)a-)01/b2/a2+ab+2a*a2()*),incorrect
a/*1)aa(-)*)c+(/0)21*)1)2-+)2())00b1a*)b)b(ccb)+c*(0/a0b)*((()+02cb+cb1(1a00)0(*)a+-c/1a+a(1-a()a)1b2*0ab(c0(b/)22()(ca(b0/0)-b2+1*c2-)(c2b2(bba+a)1(1/2*b1+1+c/bc---a-1(/a-02)-a+)(0*c(c))a1c)-0/(/a(202/-c00*(-c+0aa-/a(0/c01)*a10*+)2)b1)c))()a/)a/bb/a2cbc-aacc/+(12/()abb/c+b(+b0)2*+)(bc2)/a1)))(2bc*((abb01*bab(2bb+10(0*+1/c2b1/2--b*/-c*(*+b*0(1a-/a))()b1c)0a+()1(112a0bc-a11(1a)(20+a*21(--(cb0)200)1++(a1((*01)b)a)1/))bb1cba)-)2)))+((())0a2+b(b2))(c2+))c*a-a01*0(-1/aa()/-+ca*-c*)**0((1(0c-)(a/b((a//)*-+(ca2))2+)(/bc/201)a*)c)+*)bbc(abc)(c0*)++*1a0c)c))+b*-*a(a1))bcb(2c(2200+)*cc010)2()a2a0*11(-+b/)*)2210//*21)*+a211c+(+/*)a-0))*)0ba2)/)0)((+(0(21--)c*(11aa1))**0(b)(00(22(c(()aa1b(aa2aa++)c))+a(c/*-0bb)b)(ac+-*)a21(a*-b0**-b*0(a-2bc2a2-(+2c2**ab*c)(bcc((2b22(*0-(2b02a((b0)2+bc)ac-cc))*0-(*2(*2-)c2010)/(,incorrect
